"sample_size","sample_design","coef","cov_name","num_sim","analysis","lrt","wald","score"
100,"Intensive",0.25,"AGE",1000,"power",10.980614128398,11.46599362249,10.055884728766
100,"Intensive",0.25,"AGE",1000,"power",4.89428842463622,4.97480778352434,4.60323191470628
100,"Intensive",0.25,"AGE",1000,"power",7.11939599742709,7.3237396726523,6.62275672282894
100,"Intensive",0.25,"AGE",1000,"power",11.9791477393519,12.4349147574283,10.9073494255599
100,"Intensive",0.25,"AGE",1000,"power",12.4116857858889,13.1349763534561,11.195931298536
100,"Intensive",0.25,"AGE",1000,"power",7.17251233126353,7.28960341638567,6.68250087396946
100,"Intensive",0.25,"AGE",1000,"power",6.25663167129642,6.41138604848306,5.84618940968023
100,"Intensive",0.25,"AGE",1000,"power",4.93490987836685,4.99310751373738,4.65441659305384
100,"Intensive",0.25,"AGE",1000,"power",8.16844913130899,8.42791715282837,7.58006636310698
100,"Intensive",0.25,"AGE",1000,"power",10.1431986371763,10.585630152289,9.26866689835556
100,"Intensive",0.25,"AGE",1000,"power",6.5301592463511,6.67907093210012,6.09663129339856
100,"Intensive",0.25,"AGE",1000,"power",7.0840499620017,7.28494261501069,6.60238028869769
100,"Intensive",0.25,"AGE",1000,"power",8.3233601472466,8.58255123120397,7.69884465482803
100,"Intensive",0.25,"AGE",1000,"power",18.2103111505667,19.6558665320988,15.946423164221
100,"Intensive",0.25,"AGE",1000,"power",11.0734658511574,11.5560352234936,10.1057325185356
100,"Intensive",0.25,"AGE",1000,"power",1.86946837806045,1.87471289788601,1.78517163953782
100,"Intensive",0.25,"AGE",1000,"power",15.9495470594356,16.9579572826984,14.2527068726927
100,"Intensive",0.25,"AGE",1000,"power",6.21098919879387,6.33267748993375,5.80582825379027
100,"Intensive",0.25,"AGE",1000,"power",3.19464044341839,3.22888967660062,3.03677884946133
100,"Intensive",0.25,"AGE",1000,"power",1.753118261091,1.75971406946323,1.67720839981674
100,"Intensive",0.25,"AGE",1000,"power",6.28934742042202,6.43044837389228,5.87271092013446
