"sample_size","sample_design","coef","cov_name","num_sim","analysis","lrt","wald","score"
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0703269521900438,1.86238463452226e-150,0.0415228174207962
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0986014758400415,1.66575331613052e-150,0.113848328561237
100,"Intensive",0.25,"AGE",1000,"type_one",-0.227365446146905,1.34668068288996e-150,0.660275000532418
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0246177035278379,1.31186436705888e-150,0.00130020347734647
100,"Intensive",0.25,"AGE",1000,"type_one",0.465285376548309,0.466682012327255,0.446929462189895
100,"Intensive",0.25,"AGE",1000,"type_one",-0.18648568120625,2.17366945337991e-150,0.361684689370168
100,"Intensive",0.25,"AGE",1000,"type_one",0.030760218613068,0.0294173219172021,0.029640810873234
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0873940378014595,1.65699922611489e-150,0.0646778519412382
100,"Intensive",0.25,"AGE",1000,"type_one",0.964162361794479,0.966110516580158,0.92264058390522
100,"Intensive",0.25,"AGE",1000,"type_one",0.143885557930844,0.14344169808439,0.138713129799999
100,"Intensive",0.25,"AGE",1000,"type_one",-0.311042710296533,5.84960710319135e-150,1.63739586812476
100,"Intensive",0.25,"AGE",1000,"type_one",2.1297744690155,2.13249669347859,2.03273303829763
100,"Intensive",0.25,"AGE",1000,"type_one",-0.1706735753678,3.42916476940732e-150,0.334734581680474
100,"Intensive",0.25,"AGE",1000,"type_one",-0.211770970713587,3.75345582178894e-150,0.658994222324813
100,"Intensive",0.25,"AGE",1000,"type_one",-0.324206502657944,1.5146512179505e-150,1.81470161254199
100,"Intensive",0.25,"AGE",1000,"type_one",-0.121947544460454,1.40479378556217e-150,0.146210251389855
100,"Intensive",0.25,"AGE",1000,"type_one",-0.216382328656437,1.30828658066976e-150,0.44199838642607
100,"Intensive",0.25,"AGE",1000,"type_one",-0.106781122524808,2.41170415243415e-150,0.1730947782762
100,"Intensive",0.25,"AGE",1000,"type_one",0.146702405279939,0.147495447898804,0.141094579953939
100,"Intensive",0.25,"AGE",1000,"type_one",4.42278026139411,4.50950046881049,4.16525237199871
100,"Intensive",0.25,"AGE",1000,"type_one",0.388914654385189,0.39140033674657,0.37313816209633
100,"Intensive",0.25,"AGE",1000,"type_one",0.545560824013592,0.547186125553447,0.524920141955874
100,"Intensive",0.25,"AGE",1000,"type_one",1.01861842148446,1.03454953083847,0.97436019646697
100,"Intensive",0.25,"AGE",1000,"type_one",-0.37609735389924,1.67054498215509e-150,1.9779834816808
100,"Intensive",0.25,"AGE",1000,"type_one",-0.306592297856696,1.1859820772906e-150,1.75860190285428
100,"Intensive",0.25,"AGE",1000,"type_one",-0.0666239997335651,1.22372083911237e-150,0.0431986353069184
100,"Intensive",0.25,"AGE",1000,"type_one",0.0535657281179738,0.0514367570178955,0.0516528541283422
100,"Intensive",0.25,"AGE",1000,"type_one",1.33789175239963,1.34146005922354,1.27982561716801
